user_reponame,1st_el,2nd_el,3rd_el,h1_ct,h2_ct,h3_ct,toc,images,alt_text_ct,code_blocks,internal_links,external_links,live_link,watchers,contributors,rank,type,type2,word_count,forks,stars,topics,about_text,seo_title,meta_desc,title_text,intro_len,good_intro,primary_lang,yr,mo,wk,has_blog
7codeRO/nest-prisma-rest-api-boilerplate,h2,p,h3,0,10,1,0,1,1,4,1,12,1,5,2,2,template,project,291,26,100,5,Nest + Prisma + TypeScript | REST API Starter repository,-,-,Description,0,0,TypeScript,3,0,0,1
abeeken/api-starter,h1,p,p,1,0,0,0,0,0,0,0,2,0,1,1,1,example,project,71,0,1,0,Quick starter example for Node.JS Restful API,Quick starter example for Node.JS Restful API,Quick starter example for Node.JS Restful API. Contribute to abeeken/api-starter development by creating an account on GitHub.,api-starter,0,0,JavaScript,5,0,0,1
acacode/swagger-typescript-api,h1,ul,p,1,4,2,0,0,0,4,3,6,1,7,93,2,example,project,175,428,4070,0,-,acacode/swagger-typescript-api,"Swagger TypeScript API · Support for OpenAPI 3.0, 2.0, JSON and YAML · Generate the API Client for Fetch or Axios from an OpenAPI Specification.",Swagger TypeScript API,0,0,TypeScript,0,0,1,0
adacapo21/nodejs-typescript-express-boilerplate,h1,p,h2,1,3,11,0,0,0,9,0,3,0,1,1,3,template,project,309,1,3,0,-,adacapo21/nodejs-typescript-express-boilerplate,"This is a boilerplate project for a Node.js application using TypeScript, Express, and PostgreSQL. Features. TypeScript: Write clean and robust code using ...",Node.js TypeScript Express Boilerplate,98,1,TypeScript,2,0,0,1
AfikDeri/vue-laravel-image-uploader,h1,p,p,0,2,0,0,2,2,1,0,2,0,2,1,1,example,project,92,17,35,0,Example project for images drag and drop uploader component using Vue.JS,-,-,Vue & Laravel Images Uploader Component,0,0,Vue,8,0,0,0
agude/Jupyter-Notebook-Template-Library,h2,h1,p,1,1,1,0,0,0,0,0,0,0,2,1,1,example,code,0,4,12,4,A library of Jupyter Notebook Templates for Data Science,agude/Jupyter-Notebook-Template-Library,A library of Jupyter Notebook Templates for Data Science - agude/Jupyter-Notebook-Template-Library.,agude/Jupyter-Notebook-Template-Library,0,0,Jupyter Notebook,5,0,0,1
ahotko/c-sharp-code-examples,h1,p,h2,1,2,2,0,0,0,0,56,17,0,4,2,1,educational,code,293,12,47,10,C# Code Examples / Snippets,ahotko/c-sharp-code-examples: C# ...,C# Code Examples (mostly for myself). A collection of code samples I have used C# and think they might be useful in the future. Sample Categories.,C# Code Examples (mostly for myself),89,1,C#,5,0,0,0
aichbauer/express-rest-api-boilerplate,h1,blockquote,li,1,16,8,1,0,0,16,1,15,0,26,8,3,template,project,1922,191,495,9,"Express REST API with JWT Authentication and support for sqlite, mysql, and postgresql",-,-,express-rest-api-boilerplate,86,1,JavaScript,7,0,0,1
alexanderskulikov/discrete-math-python-scripts,h1,p,h2,1,1,3,1,5,5,0,0,24,0,17,2,1,educational,code,2133,171,436,18,Python code snippets from Discrete Mathematics for Computer Science specialization at Coursera,-,-,Interactive Python Code Snippets for Discrete Mathematics,437,1,Jupyter Notebook,0,2,0,0
alexblunck/starter-vanilla,h1,p,h2,1,1,3,0,0,0,0,0,0,0,0,0,1,template,project,50,0,2,0,Starting point for web projects using vanilla javascript & webpack,-,-,starter-angular,0,0,JavaScript,8,0,0,0
